marker,x_pos,y_pos,z_pos,msec,active
1,-0.00002,-0.709651,-0.836637,5.375165,0
1,-0.000255,-0.709308,-0.82757,5.37649,0
1,-0.000263,-0.708749,-0.818695,5.248013,0
1,-0.000244,-0.708054,-0.810978,5.378808,0
1,0.000001,-0.706824,-0.79558,5.373179,0
1,0.000196,-0.705432,-0.780645,5.254304,0
1,-0.000214,-0.704558,-0.778683,5.374503,0
1,-0.001013,-0.70371,-0.774033,5.37649,0
1,-0.000589,-0.703038,-0.767187,5.250662,0
1,-0.00027,-0.701949,-0.748384,5.375828,0
1,0.000205,-0.700642,-0.746351,5.375497,0
1,-0.000255,-0.699119,-0.736538,5.246357,0
1,0.000157,-0.698207,-0.73316,5.379139,0
1,0.000179,-0.697456,-0.744211,5.375165,0
1,-0.000717,-0.696496,-0.734938,5.253973,0
1,0.000061,-0.695966,-0.746817,5.375165,0
1,-0.000342,-0.694697,-0.747427,5.374503,0
1,-0.000423,-0.692933,-0.735117,5.247351,0
1,-0.001905,-0.692021,-0.73288,5.378477,0
1,-0.001673,-0.690884,-0.725073,5.377815,0
1,-0.002078,-0.690081,-0.70768,5.248344,0
1,-0.003008,-0.688875,-0.683256,5.375165,0
1,-0.002158,-0.687656,-0.684805,5.375165,0
1,-0.00167,-0.686295,-0.683077,5.248675,0
1,-0.002844,-0.684606,-0.667904,5.381457,0
1,-0.002109,-0.683725,-0.675083,5.375165,0
1,-0.001441,-0.681899,-0.670683,5.248675,0
1,-0.001385,-0.680888,-0.679592,5.377152,0
1,-0.001466,-0.678109,-0.665934,5.374835,0
1,-0.001674,-0.676951,-0.647375,5.248344,0
1,-0.00139,-0.677247,-0.681059,5.378477,0
1,-0.001497,-0.676784,-0.698677,5.375497,0
1,-0.002257,-0.674609,-0.678295,5.252318,0
1,-0.002295,-0.672825,-0.6807,5.376159,0
1,-0.001584,-0.671405,-0.676561,5.369867,0
1,-0.002313,-0.669531,-0.6731,5.257285,0
1,-0.001915,-0.668341,-0.68767,5.372848,0
1,-0.002268,-0.665615,-0.649208,5.37947,0
1,-0.001695,-0.663403,-0.644457,5.249669,0
1,-0.000675,-0.661316,-0.644857,5.373179,0
1,-0.000961,-0.6572,-0.594492,5.378146,0
1,-0.001433,-0.654174,-0.563038,5.251987,0
1,-0.000245,-0.651424,-0.542561,5.376821,0
1,-0.001041,-0.649811,-0.559832,5.370199,0
1,-0.00167,-0.64824,-0.566698,5.251325,0
1,-0.002029,-0.646165,-0.549234,5.376821,0
1,-0.000719,-0.644126,-0.5515,5.379801,0
1,-0.001882,-0.642345,-0.527977,5.247682,0
1,-0.002511,-0.638745,-0.476984,5.378477,0
1,-0.003197,-0.636637,-0.467701,5.384106,0
1,-0.002536,-0.635636,-0.511497,5.243709,0
1,-0.003785,-0.633671,-0.498186,5.372517,0
1,-0.003799,-0.631851,-0.502079,5.376159,0
1,-0.004861,-0.630102,-0.512239,5.251325,0
