marker,x_pos,y_pos,z_pos,msec,active
1,0.002786,-0.712531,-0.769911,5.377815,0
1,0.00301,-0.712343,-0.771667,5.253643,0
1,0.003168,-0.712211,-0.772184,5.372848,0
1,0.003263,-0.712084,-0.771439,5.379139,0
1,0.003328,-0.712024,-0.776249,5.250993,0
1,0.003451,-0.71199,-0.779173,5.372848,0
1,0.003449,-0.71185,-0.777166,5.377815,0
1,0.003384,-0.711687,-0.777544,5.252649,0
1,0.003269,-0.711193,-0.774967,5.37649,0
1,0.003041,-0.710476,-0.753473,5.374172,0
1,0.002786,-0.709788,-0.735592,5.252649,0
1,0.002469,-0.709114,-0.721193,5.375497,0
1,0.002205,-0.708149,-0.692049,5.374835,0
1,0.002273,-0.707728,-0.682268,5.249007,0
1,0.001683,-0.707043,-0.67351,5.378477,0
1,0.001732,-0.706225,-0.674213,5.375165,0
1,0.001845,-0.705914,-0.666395,5.249338,0
1,0.001191,-0.705181,-0.652567,5.377152,0
1,0.000744,-0.704781,-0.658489,5.330132,0
1,0.001127,-0.705071,-0.673128,5.303974,0
1,0.001447,-0.705007,-0.686031,5.361589,0
1,0.001386,-0.704794,-0.694618,5.373179,0
1,0.000905,-0.704592,-0.710613,5.248013,0
1,0.000968,-0.704367,-0.726852,5.389404,0
1,0.000672,-0.703553,-0.730333,5.374172,0
1,0.000854,-0.702728,-0.73749,5.252318,0
1,0.000349,-0.701796,-0.73461,5.37351,0
1,0.000674,-0.701089,-0.745794,5.377152,0
1,0.001019,-0.700302,-0.742689,5.249007,0
1,0.000304,-0.698534,-0.73731,5.377483,0
1,0.000356,-0.697251,-0.739962,5.376159,0
1,0.000902,-0.696096,-0.745584,5.25,0
1,0.000233,-0.694543,-0.745367,5.377152,0
1,0.000338,-0.693537,-0.739855,5.374172,0
1,-0.000399,-0.691451,-0.711992,5.252649,0
1,-0.000441,-0.690002,-0.716101,5.375497,0
1,-0.001032,-0.688275,-0.710361,5.372848,0
1,-0.000873,-0.68651,-0.699873,5.254304,0
1,-0.001007,-0.685232,-0.710741,5.374835,0
1,-0.000395,-0.684465,-0.743729,5.37351,0
1,0.000138,-0.683591,-0.765364,5.252318,0
1,0.000274,-0.682365,-0.765491,5.374835,0
1,0.000555,-0.680905,-0.778021,5.379139,0
1,0.000491,-0.678653,-0.761885,5.248344,0
1,-0.000898,-0.677358,-0.755487,5.378146,0
1,-0.000746,-0.675355,-0.762486,5.375165,0
1,0.000564,-0.673145,-0.749157,5.246689,0
1,-0.000553,-0.67129,-0.74345,5.376821,0
1,-0.001013,-0.669005,-0.719379,5.375165,0
1,-0.000787,-0.665473,-0.652143,5.249669,0
1,-0.001237,-0.663352,-0.641554,5.378477,0
1,-0.001132,-0.660489,-0.59639,5.378477,0
1,-0.000439,-0.659319,-0.613247,5.249669,0
1,0.000103,-0.657492,-0.607666,5.375497,0
1,0.000595,-0.655212,-0.591627,5.373841,0
1,-0.000124,-0.652829,-0.556866,5.253643,0
1,-0.00136,-0.650466,-0.552715,5.374835,0
1,-0.001324,-0.648052,-0.561237,5.376159,0
1,-0.001341,-0.645576,-0.550835,5.25,0
1,-0.001847,-0.645035,-0.554646,5.374172,0
1,-0.000761,-0.642851,-0.529104,5.378808,0
1,-0.000592,-0.639944,-0.499023,5.250993,0
1,-0.000893,-0.637937,-0.503801,5.37351,0
1,-0.000314,-0.636093,-0.498711,5.377483,0
1,0.000591,-0.633947,-0.492056,5.236424,0
1,-0.000065,-0.632285,-0.492939,5.387086,0
1,-0.000761,-0.629741,-0.473265,5.379139,0
1,0.000088,-0.627433,-0.461721,5.262252,1
1,0.000067,-0.627065,-0.500656,5.364901,1
1,0.001855,-0.625546,-0.516005,5.375497,1
1,0.001992,-0.623867,-0.513536,5.250331,1
1,0.002202,-0.62155,-0.496555,5.369867,1
1,0.001216,-0.61974,-0.505302,5.381457,1
1,0.0018,-0.617995,-0.518293,5.248675,1
1,0.002986,-0.615883,-0.510874,5.374172,1
1,0.003801,-0.613295,-0.493521,5.380133,1
1,0.004203,-0.610658,-0.472536,5.250993,1
1,0.003169,-0.609054,-0.470722,5.380133,1
1,0.004219,-0.606598,-0.498806,5.369867,1
1,0.005888,-0.604151,-0.501579,5.251656,1
1,0.007403,-0.602288,-0.503925,5.375165,1
1,0.007082,-0.599566,-0.487999,5.376159,1
1,0.007416,-0.59776,-0.489632,5.377483,1
1,0.008564,-0.595942,-0.460001,5.253311,1
1,0.009535,-0.593554,-0.457317,5.37649,1
1,0.010868,-0.592489,-0.48525,5.25,1
1,0.012212,-0.589518,-0.469641,5.383775,1
1,0.01405,-0.587936,-0.455994,5.365563,1
1,0.015639,-0.584959,-0.395929,5.249338,1
1,0.016542,-0.582895,-0.389921,5.389073,1
1,0.017125,-0.582762,-0.401331,5.364238,1
1,0.017265,-0.580254,-0.3734,5.253973,1
1,0.020272,-0.578248,-0.372753,5.372185,1
1,0.021428,-0.576306,-0.374506,5.37649,1
